term,beta,se,z,p,ci_low,ci_high,percent_change,percent_ci_low,percent_ci_high
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]:C(nback_level, Treatment(reference=1))[T.2]",-0.05544216703987348,0.03841293399706863,-1.4433202900904258,0.14893026665343037,-0.13073013421464222,0.01984580013489526,-5.39332640718505,-12.25454625996598,2.0044037246089497
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]:C(nback_level, Treatment(reference=1))[T.2]",-0.06475102591015146,0.038599787507056504,-1.6774969524978394,0.09344534489228169,-0.1404052192348813,0.010903167414578405,-6.26992020578504,-13.099397391436662,1.0962823560924484
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]:C(nback_level, Treatment(reference=1))[T.3]",-0.11230254890227766,0.044136755377082004,-2.5444223967716195,0.010945863084032023,-0.19880899983581296,-0.025796097968742354,-10.622619369391817,-18.0293557552911,-2.546622123148057
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]:C(nback_level, Treatment(reference=1))[T.3]",-0.10257174581720743,0.0443462955730611,-2.3129721319838126,0.02072417138967928,-0.18948888798817523,-0.015654603646239634,-9.748660413108412,-17.26180892760493,-1.5532707247446709
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]:C(nback_level, Treatment(reference=1))[T.4]",0.010154369636460285,0.04505626270257903,0.2253708813687081,0.8216907622707323,-0.07815428253856993,0.0984630218114905,1.020610019662671,-7.517826830832974,10.347359918517874
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]:C(nback_level, Treatment(reference=1))[T.4]",0.006099274796015655,0.045044041773688266,0.13540691633889848,0.8922901560492886,-0.08218542479853104,0.09438397439056236,0.6117913246944218,-7.889885213421355,9.8981645720285
