term,beta,se,z,p,ci_low,ci_high,percent_change,percent_ci_low,percent_ci_high
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]",-0.26497244798435726,0.015326753062523046,-17.28823103650489,5.7695809491818746e-67,-0.2950123319868414,-0.23493256398187312,-23.27729116626085,-25.547759403121706,-20.93758356234714
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]",-0.28543793626962555,0.015347600920460187,-18.598212042971657,3.3220408272859828e-77,-0.3155186813228213,-0.2553571912164298,-24.8315007894664,-27.058955543893447,-22.53602459772629
