emotion_condition,n,mean_accuracy,mean_rt,median_rt,mean_ies,sd_ies
Negative,22,0.838047138047138,733.0135261514062,422.5,875.1138221257611,342.3010872955381
Neutral,23,0.8466988727858293,991.4863110673768,531.0,1184.0901398809538,481.79259509756986
