nback_level,n_trials,accuracy,sd
1,3960,0.9845959595959596,0.12316893642294242
2,5940,0.8951178451178451,0.3064273097528797
3,3960,0.7643939393939394,0.4244306009795678
4,3960,0.716919191919192,0.4505522457253625
