participant_group,n,mean_rt,median_rt,sd_rt
A,3945,962.5670468948035,581.0,937.2642617089919
B,3967,883.3080413410638,567.0,817.8401211948313
C,3135,687.8169059011165,396.0,706.3563364619753
D,3137,726.6480714058017,412.0,760.0762518539053
