nback_level,n,mean_rt,median_rt,sd_rt
1,3601,556.9333518467092,362.0,520.7740723631294
2,5042,887.6104720349068,562.0,833.1087164942676
3,2881,960.536966331135,549.0,938.0490100456375
4,2660,935.734962406015,562.5,929.4024503332274
