emotion_condition,participants,trials,mean_rt,median_rt,sd_rt
Negative,22,4704,740.2487244897959,433.5,744.22562691258
Neutral,23,4829,966.5845930834541,630.0,896.3582833094833
Positive,22,4651,771.3274564609761,421.0,808.8632637324265
