emotion_condition,participants,trials,mean_rt,sd_rt,median_rt,mean_log_rt
Negative,22,4704,740.2487244897959,744.22562691258,433.5,6.249127171967756
Neutral,23,4829,966.5845930834541,896.3582833094833,630.0,6.511630098932746
Positive,22,4651,771.3274564609761,808.8632637324265,421.0,6.243020789772625
