term,beta,se,z,p,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high,contrast
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]",0.0015111805665663199,0.05678888027592684,0.0266105011971317,0.9787703974824981,-0.10979297949660732,0.11281534062973997,1.0015123229753082,0.8960196105280992,1.1194252015089607,Positive vs Neutral
"C(emotion_condition, Treatment(reference='Negative'))[T.Positive]",0.08563481802219548,0.05752779414197279,1.4885816377881167,0.1365975698698096,-0.027117586606105484,0.19838722265049646,1.0894084233330186,0.9732467940083107,1.2194344950688831,Positive vs Negative
