term,beta,se,z,p,ci_low,ci_high,rt_ratio,percent_change,percent_ci_low,percent_ci_high,contrast
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]",-0.28543793626962555,0.015347600920460187,-18.598212042971657,3.3220408272859828e-77,-0.3155186813228213,-0.2553571912164298,0.751684992105336,-24.8315007894664,-27.058955543893447,-22.53602459772629,Positive vs Neutral
"C(emotion_condition, Treatment(reference='Negative'))[T.Positive]",-0.020465488285268424,0.01563104195383805,-1.309284969339061,0.19043783913382317,-0.051101767555625593,0.01017079098508875,0.9797425084850225,-2.0257491514977466,-4.9818032084358315,1.022268927939196,Positive vs Negative
