emotion_condition,n,mean_accuracy,mean_rt,mean_ies,sd_ies
Negative,22,0.838047138047138,733.0135261514062,875.1138221257611,342.3010872955381
Neutral,23,0.8466988727858293,991.4863110673768,1184.0901398809538,481.79259509756986
Positive,22,0.851010101010101,760.0948406521228,899.4192062749305,510.1361699569018
